"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"DD10","SOT-23","43.425mm","39.2mm","43.425mm","39.2mm","42.475mm","40.2mm","B","270.00","MAX809SD or IMP809SEUR"
"R19","RESC1005[0402]","29.825mm","48.4mm","29.825mm","48.4mm","29.3mm","48.4mm","T","360.00","ERJ-2RKF2400X"
"R15","RESC1005[0402]","26.925mm","48.4mm","26.925mm","48.4mm","26.4mm","48.4mm","T","360.00","ERJ-2RKF2400X"
"C35","C0402_IPC_High_Density","33.125mm","27.1mm","33.125mm","27.1mm","33.125mm","27.6mm","B","270.00","GRM155R71C104KA88"
"VD14","SOT-23","3mm","34.3mm","3mm","34.3mm","2.05mm","35.3mm","B","270.00","BAV99"
"VD13","SOT-23","11.05mm","34.3mm","11.05mm","34.3mm","10.1mm","35.3mm","B","270.00","BAV99"
"VD12","SOT-23","7.1mm","34.3mm","7.1mm","34.3mm","6.15mm","35.3mm","B","270.00","BAV99"
"C141","C0603","14.2752mm","1.5001mm","14.3mm","1.5mm","13.4751mm","1.5001mm","T","360.00","GRM188R60J106ME47"
"C140","CAPC2012[0805]","10mm","3.4mm","10mm","3.4mm","9.1mm","3.4mm","B","360.00","GRM21BR61E475KA12"
"C123","CAPC2012[0805]","6mm","11.9mm","6mm","11.9mm","6mm","11mm","B","90.00","GRM21BR61E475KA12"
"C92","CAPC2012[0805]","10mm","1.3mm","10mm","1.3mm","9.1mm","1.3mm","B","360.00","GRM21BR61E475KA12"
"C91","CAPC2012[0805]","13.8mm","3.4mm","13.8mm","3.4mm","14.7mm","3.4mm","B","180.00","GRM21BR61E475KA12"
"DD7","SO-8_L","53.8001mm","9.1252mm","53.8001mm","9.1252mm","55.7051mm","11.4752mm","T","270.00","PCF8563T/5"
"C1","C0603","23.3249mm","27.5752mm","23.325mm","27.6mm","23.3249mm","26.7751mm","T","90.00","GRM188R60J106ME47"
"C3","C0402_IPC_High_Density","34.8499mm","26.225mm","34.8499mm","26.225mm","35.3499mm","26.225mm","B","180.00","GRM155R71C104KA88"
"R74","RESC1005[0402]","79.4499mm","30.55mm","79.4499mm","30.55mm","79.4499mm","30.025mm","B","90.00","ERJ-2RKF4751X"
"R66","RESC1005[0402]","61.6499mm","19.625mm","61.6499mm","19.625mm","61.6499mm","19.1mm","B","90.00","ERJ-2RKF4751X"
"C107","C0603","48.325mm","6.7249mm","48.3499mm","6.725mm","47.525mm","6.7249mm","B","360.00","GRM188R60J106ME47"
"VD5","SOT-23","69.9mm","18.2mm","69.9mm","18.2mm","70.9mm","19.15mm","B","180.00","BAT54C-G"
"L11","L_0402","67.4mm","20.5mm","67.4mm","20.5mm","67.4mm","19.975mm","B","90.00","BLM15PX331SN1"
"R65","RESC1005[0402]","61.6499mm","16.225mm","61.6499mm","16.225mm","61.6499mm","15.7mm","B","90.00","ERJ-2RKF4751X"
"C102","C0603","49.7251mm","11.3249mm","49.7499mm","11.325mm","48.925mm","11.3249mm","B","360.00","GRM188R60J106ME47"
"C111","C0603","72.5747mm","15.7251mm","72.5499mm","15.725mm","73.3748mm","15.7251mm","B","180.00","GRM188R60J106ME47"
"R58","RESC1005[0402]","11.4001mm","20.7252mm","11.4001mm","20.7252mm","11.9251mm","20.7252mm","B","180.00","ERJ-2RKF1002X"
"R57","RESC1005[0402]","5.3001mm","23.3252mm","5.3001mm","23.3252mm","5.3001mm","23.8502mm","B","270.00","ERJ-2RKF1002X"
"XP8","PLS-2","74.5mm","2.73mm","74.5mm","4mm","74.5mm","1.46mm","T","90.00","PLS-2"
"XP9","PLS-4","32.45mm","9.1mm","31.22mm","9.1mm","28.68mm","9.1mm","T","360.00","PLS-4"
"R34","RESC1005[0402]","47.825mm","40mm","47.825mm","40mm","47.825mm","39.475mm","T","90.00","ERJ-2RKF1002X"
"L12","SDR0403","14.6mm","10.8mm","14.6mm","10.8mm","14.6mm","12.8mm","T","270.00","SDR0604-2R2ML"
"C130","C0603","14.2752mm","3.2001mm","14.3mm","3.2mm","13.4751mm","3.2001mm","T","360.00","GRM188R60J106ME47"
"C129","C0603","14.2752mm","6.5001mm","14.3mm","6.5mm","13.4751mm","6.5001mm","T","360.00","GRM188R60J106ME47"
"R59","RESC1005[0402]","78.3mm","52.2mm","78.3mm","52.2mm","77.775mm","52.2mm","B","360.00","ERJ-2RKF1002X"
"C121","C0402_IPC_High_Density","66.9mm","18.8mm","66.9mm","18.8mm","66.4mm","18.8mm","B","360.00","GRM155R71C104KA88"
"BT1","THAF14","82.9499mm","29.225mm","82.9499mm","29.225mm","82.0999mm","31.85mm","B","270.00","THAF14 (TD-26EA-Y)"
"R72","RESC1005[0402]","46.425mm","40mm","46.425mm","40mm","46.425mm","40.525mm","T","270.00","ERJ-2RKF4751X"
"R69","RESC1005[0402]","45.175mm","40mm","45.175mm","40mm","45.175mm","39.475mm","T","90.00","ERJ-2RKF4751X"
"R62","RESC1005[0402]","29.6mm","6.7mm","29.6mm","6.7mm","29.6mm","7.225mm","B","270.00","ERJ-2RKF2001X"
"R63","RESC1005[0402]","33mm","7.2mm","33mm","7.2mm","32.475mm","7.2mm","B","360.00","ERJ-2RKF1051X"
"R60","RESC1005[0402]","39.5mm","9.4mm","39.5mm","9.4mm","39.5mm","8.875mm","B","90.00","ERJ-2RKF1002X"
"R61","RESC1005[0402]","26.1mm","6.7mm","26.1mm","6.7mm","26.1mm","7.225mm","B","270.00","ERJ-2RKF1002X"
"C89","C0402_IPC_HIGH_DENSITY","30.7mm","6.7mm","30.7mm","6.7mm","30.7mm","7.2mm","B","270.00","GRM155R71C104KA88"
"C88","C0402_IPC_HIGH_DENSITY","27.4mm","6.7mm","27.4mm","6.7mm","27.4mm","7.2mm","B","270.00","GRM155R71C104KA88"
"C87","C0402_IPC_HIGH_DENSITY","28.5mm","6.7mm","28.5mm","6.7mm","28.5mm","7.2mm","B","270.00","GRM155R71C104KA88"
"C23","C0402_IPC_HIGH_DENSITY","34.1mm","32.8mm","34.1mm","32.8mm","34.1mm","32.3mm","B","90.00","GRM155R71C104KA88"
"C22","C0402_IPC_HIGH_DENSITY","33.4mm","30mm","33.4mm","30mm","33.9mm","30mm","T","180.00","GRM155R71C104KA88"
"C21","C0402_IPC_HIGH_DENSITY","26.8mm","30mm","26.8mm","30mm","26.3mm","30mm","T","360.00","GRM155R71C104KA88"
"R88","RESC1005[0402]","4.7mm","5.6mm","4.7mm","5.6mm","4.7mm","6.125mm","B","270.00","ERJ-2RKF1051X"
"R71","RESC1005[0402]","81mm","4.4mm","81mm","4.4mm","81.525mm","4.4mm","B","180.00","ERJ-2RKF1002X"
"VD4","SOT-23","70.8mm","13.3mm","70.8mm","13.3mm","71.75mm","12.3mm","B","90.00","BAT54C-G"
"R78","RESC1005[0402]","59.3mm","15.3mm","59.3mm","15.3mm","59.3mm","15.825mm","T","270.00","ERJ-2RKF4751X"
"R76","RESC1005[0402]","58mm","15.3mm","58mm","15.3mm","58mm","15.825mm","T","270.00","ERJ-2RKF4751X"
"BQ3","3215","55mm","13.75mm","55mm","13.75mm","53.75mm","13.75mm","T","360.00","DTS310S"
"R77","RESC1005[0402]","19.625mm","25.1mm","19.625mm","25.1mm","20.15mm","25.1mm","T","180.00","ERJ-2RKF1051X"
"LED2","LED0603","19.325mm","22.8mm","19.325mm","22.8mm","18.4875mm","22.8mm","T","360.00","FYLS-0603PGC"
"C120","C0402_IPC_HIGH_DENSITY","72.6mm","18.3mm","72.6mm","18.3mm","72.6mm","17.8mm","B","90.00","GRM155R71C104KA88"
"C90","C0402_IPC_HIGH_DENSITY","41.225mm","39.3mm","41.225mm","39.3mm","41.225mm","38.8mm","B","90.00","GRM155R71C104KA88"
"R92","RESC1005[0402]","10.2mm","16.6mm","10.2mm","16.6mm","10.2mm","17.125mm","B","270.00","ERJ-2RKF1002X"
"R90","RESC1005[0402]","7.1mm","3.1mm","7.1mm","3.1mm","7.1mm","2.575mm","B","90.00","ERJ-2RKF9090X"
"R87","RESC1005[0402]","6.6mm","6.1mm","6.6mm","6.1mm","7.125mm","6.1mm","B","180.00","ERJ-2RKF4751X"
"R82","RESC1005[0402]","40.0249mm","6.525mm","40.0249mm","6.525mm","39.4999mm","6.525mm","T","360.00","ERJ-2RKF1051X"
"R80","RESC1005[0402]","42.4499mm","6.525mm","42.4499mm","6.525mm","41.9249mm","6.525mm","T","360.00","ERJ-2RKF4751X"
"R81","RESC1005[0402]","63.525mm","37mm","63.525mm","37mm","64.05mm","37mm","B","180.00","ERJ-2RKF4751X"
"R79","RESC1005[0402]","63.25mm","35mm","63.25mm","35mm","63.25mm","35.525mm","B","270.00","ERJ-2RKF6041X"
"C122","C0603","69.9248mm","21.0001mm","69.9mm","21mm","70.7249mm","21.0001mm","B","180.00","GRM188R60J106ME47"
"C108","C0603","55.5248mm","15.5999mm","55.5mm","15.6mm","56.3249mm","15.5999mm","T","180.00","GRM188R60J106ME47"
"C105","C0603","48.425mm","8.2749mm","48.4499mm","8.275mm","47.625mm","8.2749mm","B","360.00","GRM188R60J106ME47"
"C95","C0603","39.2498mm","8.8002mm","39.2499mm","8.825mm","39.2498mm","8.0001mm","T","90.00","GRM188R60J106ME47"
"C118","C0603","18.0249mm","27.5752mm","18.025mm","27.6mm","18.0249mm","26.7751mm","T","90.00","GRM188R60J106ME47"
"C117","C0603","21.4249mm","27.5752mm","21.425mm","27.6mm","21.4249mm","26.7751mm","T","90.00","GRM188R60J106ME47"
"C115","C0603","16.0502mm","33.3501mm","16.075mm","33.35mm","15.2501mm","33.3501mm","T","360.00","GRM188R60J106ME47"
"C98","C0603","61.9251mm","33.0874mm","61.9499mm","33.0875mm","61.125mm","33.0874mm","B","360.00","GRM188R60J106ME47"
"C103","C0603","61.25mm","34.3499mm","61.2499mm","34.325mm","61.25mm","35.1499mm","T","270.00","GRM188R60J106ME47"
"C93","C0603","66.0001mm","39.2748mm","66mm","39.25mm","66.0001mm","40.0749mm","T","270.00","GRM188R60J106ME47"
"L7","CDRH2D18B/HPNP-3R3N","48.5mm","11mm","48.5mm","11mm","47.1mm","11mm","T","180.00","CDRH2D18/HP-3R3N"
"DD9","SOT23-5","44mm","8.75mm","44mm","8.75mm","45.35mm","7.8mm","T","180.00","SY8008C"
"DD8","SOT23-5","64mm","36mm","64mm","36mm","63.05mm","34.65mm","T","90.00","SY8008C"
"C139","C0402_IPC_HIGH_DENSITY","8.9mm","16.6mm","8.9mm","16.6mm","8.9mm","17.1mm","B","270.00","GRM155R71E682KA01"
"C138","C0402_IPC_HIGH_DENSITY","7.6mm","16.6mm","7.6mm","16.6mm","7.6mm","17.1mm","B","270.00","GRM1555C1H150"
"C137","C0402_IPC_HIGH_DENSITY","6.6mm","4.9mm","6.6mm","4.9mm","6.1mm","4.9mm","B","360.00","GRM1555C1H680JZ01"
"C101","C0402_IPC_HIGH_DENSITY","44.8499mm","5.925mm","44.8499mm","5.925mm","45.3499mm","5.925mm","T","180.00","GRM1555C1H680JZ01"
"C110","C0402_IPC_HIGH_DENSITY","51.7499mm","13.425mm","51.7499mm","13.425mm","51.7499mm","12.925mm","B","90.00","GRM155R71C104KA88"
"C97","C0402_IPC_HIGH_DENSITY","62mm","35mm","62mm","35mm","62mm","34.5mm","B","90.00","GRM1555C1H680JZ01"
"C104","C0402_IPC_HIGH_DENSITY","58.5499mm","30.925mm","58.5499mm","30.925mm","58.5499mm","30.425mm","B","90.00","GRM155R71C104KA88"
"R44","RESC1005[0402]","69.3mm","26.9mm","69.3mm","26.9mm","69.3mm","27.425mm","B","270.00","ERJ-2RKF1002X"
